NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0.0,0.3075551,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.1696038,0
0,1,2,1,0.0,0.3075551,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.208712,0
0,1,2,1,0.0,0.3075551,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.3052082,0
0,1,2,1,0.0,0.3075551,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.4004436,0
0,1,2,1,0.0,0.3075551,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.5020028,0
0,1,2,1,0.0,0.3075551,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.6048898,0
0,1,2,1,0.0,0.6075547,0.3085001,8.307555,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.7009023,1
0,1,2,2,0.0,1.107554,0.3085001,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.8023482,1
0,1,2,2,0.0,1.607554,0.3085001,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,0.9024812,1
0,1,2,2,0.0,2.107553,0.3085001,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.000955,1
0,1,2,2,0.0,2.607553,0.3085001,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.1143,1
0,1,2,2,0.0,3.107553,0.3085001,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.207058,1
0,1,2,2,0.0,3.607552,0.3085001,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.308283,1
0,1,2,2,0.0,4.107552,8.3085,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.400393,1
0,1,2,2,0.0,4.607551,8.3085,0.3085001,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.50102,1
1,1,2,1,19.50756,5.10755,0.3085001,0.3075551,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.603963,1
1,1,2,1,19.00756,5.607551,0.3085001,0.3075551,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.705724,1
1,1,2,1,18.50756,6.107553,0.3085001,0.3075551,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.801503,1
1,1,2,1,18.00756,6.607555,0.3085001,0.3075551,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,1.900257,1
1,1,2,1,17.50755,7.107557,0.3085001,0.3075551,15,3,3.0,27.0,27.0,27.0,1,2,27,21,25,27,2.004274,1
1,1,2,1,17.00755,7.607559,0.3085001,0.3075551,15,3,3.0,26.5,27.0,26.5,1,2,27,21,25,27,2.104629,1
1,1,2,2,16.50755,8.107561,0.3085001,0.3085001,15,3,3.0,26.0,27.0,26.0,1,2,27,21,25,27,2.200601,1
1,1,2,2,16.00755,8.607563,0.3085001,0.3085001,15,3,3.0,25.49999,27.0,25.49999,1,2,27,21,25,27,2.304162,1
1,1,2,2,15.50755,9.107565,0.3085001,0.3085001,15,3,3.0,24.99999,27.0,24.99999,1,2,27,21,25,27,2.405477,1
1,1,2,2,15.00754,9.607568,0.3085001,0.3085001,15,3,3.0,24.49999,27.0,24.49999,1,2,27,21,25,27,2.50042,1
1,1,2,1,14.50754,10.10757,0.3085001,8.307555,15,3,3.0,23.99999,27.0,23.99999,1,2,27,21,25,27,2.600639,1
1,1,2,1,14.00754,10.60757,0.3085001,8.307555,15,3,3.0,23.49999,27.0,23.49999,1,2,27,21,25,27,2.702324,1
1,1,2,2,13.50754,11.10757,0.3085001,0.3085001,15,3,3.0,22.99998,27.0,22.99998,1,2,27,21,25,27,2.800544,1
1,1,2,2,13.00754,11.60757,0.3085001,0.3085001,15,3,3.0,22.49998,27.0,22.49998,1,2,27,21,25,27,2.901544,1
1,1,2,2,12.50753,12.10758,0.3085001,0.3085001,15,3,3.0,21.99998,27.0,21.99998,1,2,100,100,25,27,3.002703,1
1,1,2,2,12.00753,12.60758,0.3085001,0.3085001,15,3,3.0,21.49998,27.0,21.49998,1,2,100,100,25,27,3.106037,1
1,1,2,2,11.50753,13.10758,0.3085001,0.3085001,15,3,3.0,20.99998,27.0,20.99998,1,2,100,100,25,27,3.202195,1
1,1,2,2,11.00753,13.60758,0.3085001,0.3085001,15,3,3.0,20.49998,27.0,20.49998,1,2,100,100,25,27,3.307046,1
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,19.99997,27.0,19.99997,1,2,100,100,25,27,3.40189,0
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,19.49997,27.0,19.49997,1,2,100,100,25,27,3.510095,0
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,18.99997,27.0,18.99997,1,2,100,100,25,27,3.60195,0
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,18.49997,27.0,18.49997,1,2,100,100,25,27,3.704454,0
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,17.99997,27.0,17.99997,1,2,100,100,25,27,3.801867,0
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,17.49996,27.0,17.49996,1,2,100,100,25,27,3.901709,0
1,1,2,2,10.70753,13.90758,0.3085001,0.3085001,15,3,3.0,16.99996,27.0,16.99996,1,2,100,100,25,27,4.006048,4
