NEIGHBORHOOD_UP,NEIGHBORHOOD_DOWN,NEIGHBORHOOD_RIGHT,NEIGHBORHOOD_LEFT,NEIGHBORHOOD_DIST_UP,NEIGHBORHOOD_DIST_DOWN,NEIGHBORHOOD_DIST_RIGHT,NEIGHBORHOOD_DIST_LEFT,COMMAND_CENTER_X,COMMAND_CENTER_Y,AGENT_1_X,AGENT_1_Y,AGENT_2_X,AGENT_2_Y,CAN_FIRE,HEALTH,LIFE_X,LIFE_Y,EXIT_X,EXIT_Y,time,action
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,5,3,19,27,0.1111262,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,5,3,19,27,0.2018969,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,5,3,19,27,0.3002388,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,5,3,19,27,0.4023438,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,5,3,19,27,0.5053126,0
0,1,2,1,0,0.3075551,0.3085001,8.307555,15,3,27,27,3,27,1,2,5,3,19,27,0.6023872,0
0,1,2,2,0,0.8075545,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,0.7057711,1
0,1,2,2,0,1.307554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,0.8055887,1
0,1,2,2,0,1.807554,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,0.9019762,1
0,1,2,2,0,2.207553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,1.000883,1
0,1,2,2,0,2.807553,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,1.102239,1
0,1,2,2,0,3.307552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,1.205257,1
0,1,2,2,0,3.807552,0.3085001,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,1.303146,1
0,1,2,2,0,4.307551,8.3085,0.3085001,15,3,27,27,3,27,1,2,5,3,19,27,1.402135,1
1,1,2,1,19.80756,4.807551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,5,3,19,27,1.506117,1
1,1,2,1,19.40756,5.207551,0.3085001,0.3075551,15,3,27,27,3,27,1,2,5,3,19,27,1.600449,1
1,1,2,1,18.80756,5.807552,0.3085001,0.3075551,15,3,27,27,3,27,1,2,5,3,19,27,1.706168,1
1,1,2,1,18.30756,6.307554,0.3085001,0.3075551,15,3,27,27,3,27,1,2,5,3,19,27,1.803833,1
1,1,2,1,17.90755,6.707556,0.3085001,0.3075551,15,3,27,27,3,27,1,2,5,3,19,27,1.900927,1
1,1,2,1,17.30755,7.307558,0.3085001,0.3075551,15,3,27,27,3,27,1,2,5,3,19,27,2.0048,1
1,1,2,1,16.80755,7.80756,0.3085001,0.3075551,15,3,27,26.5,3.5,27,1,2,5,3,19,27,2.101282,1
1,1,2,2,16.30755,8.307562,0.3085001,0.3085001,15,3,27,26,3.999999,27,1,2,5,3,19,27,2.203723,1
1,1,2,2,15.80755,8.807564,0.3085001,0.3085001,15,3,27,25.49999,4.499999,27,1,2,5,3,19,27,2.306387,1
1,1,2,2,15.30754,9.307566,0.3085001,0.3085001,15,3,27,24.99999,4.999998,27,1,2,5,3,19,27,2.403594,1
1,1,2,2,14.80754,9.807568,0.3085001,0.3085001,15,3,27,24.49999,5.499998,27,1,2,5,3,19,27,2.50175,1
1,1,2,1,14.30754,10.30757,0.3085001,8.307554,15,3,27,23.99999,5.999997,27,1,2,5,3,19,27,2.604185,1
1,1,2,2,13.80754,10.80757,0.3085001,0.3085001,15,3,27,23.49999,6.499997,27,1,2,5,3,19,27,2.704402,1
1,1,2,2,13.30754,11.30757,0.3085001,0.3085001,15,3,27,22.99998,6.999996,27,1,2,5,3,19,27,2.800993,1
1,1,2,2,12.80754,11.80758,0.3085001,0.3085001,15,3,27,22.49998,7.499996,27,1,2,5,3,19,27,2.906341,1
1,1,2,2,12.30753,12.30758,0.3085001,0.3085001,15,3,27,21.99998,7.999995,27,1,2,5,3,19,27,3.003726,1
1,1,2,2,11.90753,12.70758,0.3085001,0.3085001,15,3,27,21.59998,8.399997,27,1,2,5,3,19,27,3.100089,1
1,1,2,2,11.30753,13.30758,0.3085001,0.3085001,15,3,27,20.99998,8.999999,27,1,2,5,3,19,27,3.202201,1
1,1,2,2,10.90753,13.70758,0.3085001,0.3085001,15,3,27,20.59998,9.400001,27,1,2,5,3,19,27,3.300364,1
6,1,1,1,8.657722,14.30758,2.307555,8.307555,15,3,27,19.99997,10,27,1,2,5,3,19,27,3.404565,1
6,1,2,2,8.15772,14.80759,0.3085001,0.3085001,15,3,27,19.49997,10.5,27,1,2,5,3,19,27,3.505001,1
6,1,2,2,7.757718,15.20759,0.3085001,0.3085001,15,3,27,19.09997,10.90001,27,1,2,5,3,19,27,3.600403,1
6,1,2,2,7.157715,15.80759,0.3085001,0.3085001,15,3,27,18.49997,11.50001,27,1,2,5,3,19,27,3.703062,1
6,1,2,2,6.657713,16.30759,0.3085001,0.3085001,15,3,27,17.99997,12.00001,27,1,2,5,3,19,27,3.801032,1
1,1,2,2,7.907517,16.70759,0.3085001,0.3085001,15,3,27,17.59996,12.40001,27,1,2,5,3,19,27,3.900543,1
1,1,2,2,7.307515,17.30759,0.3085001,0.3085001,15,3,27,16.99996,13.00001,27,1,2,5,3,19,27,4.004522,1
